"","ID","Q1","Q2","Q3","Q4","Q5","Q6_1","Q6_2","Q6_3","Q6_4","Q7","female","college","married","regular","status"
"802",1,1,5,2,2,3,2,3,3,3,5,1,0,0,0,4
"1002",1,1,5,2,2,3,2,3,3,3,5,1,1,0,0,2
"2605",1,1,5,2,2,3,2,3,3,3,5,1,1,1,0,2
"3006",1,1,5,2,2,3,2,3,3,3,5,1,0,1,0,3
"200",2,1,7,2,6,NA,2,4,4,2,3,0,0,0,1,3
"602",2,1,7,2,6,NA,2,4,4,2,3,0,0,0,0,4
"1603",2,1,7,2,6,NA,2,4,4,2,3,0,1,0,1,5
"2006",2,1,7,2,6,NA,2,4,4,2,3,0,0,1,1,3
"1203",3,2,5,4,6,NA,3,3,3,2,2,1,0,0,1,4
"1405",3,2,5,4,6,NA,3,3,3,2,2,1,1,0,1,3
"2406",3,2,5,4,6,NA,3,3,3,2,2,1,1,1,1,2
"2807",3,2,5,4,6,NA,3,3,3,2,2,1,0,1,1,4
"401",4,1,6,2,2,7,2,1,5,1,4,0,1,0,0,2
"603",4,1,6,2,2,7,2,1,5,1,4,0,0,0,0,3
"2007",4,1,6,2,2,7,2,1,5,1,4,0,0,1,1,2
"2207",4,1,6,2,2,7,2,1,5,1,4,0,1,1,1,2
"402",5,1,3,2,6,NA,3,3,3,3,5,0,1,0,0,2
"2008",5,1,3,2,6,NA,3,3,3,3,5,0,0,1,1,1
"2407",5,1,3,2,6,NA,3,3,3,3,5,1,1,1,1,1
"3007",5,1,3,2,6,NA,3,3,3,3,5,1,0,1,0,2
"1",6,1,7,2,6,NA,3,3,4,2,2,0,1,0,1,3
"201",6,1,7,2,6,NA,3,3,4,2,2,0,0,0,1,3
"1604",6,1,7,2,6,NA,3,3,4,2,2,0,1,0,1,4
"1804",6,1,7,2,6,NA,3,3,4,2,2,0,1,1,0,3
"2",7,1,5,2,2,1,3,2,4,3,3,0,1,0,1,4
"202",7,1,5,2,2,1,3,2,4,3,3,0,0,0,1,2
"1406",7,1,5,2,2,1,3,2,4,3,3,1,1,0,1,4
"2808",7,1,5,2,2,1,3,2,4,3,3,1,0,1,1,2
"803",8,1,5,5,2,1,1,5,2,4,3,1,0,0,0,3
"1003",8,1,5,5,2,1,1,5,2,4,3,1,1,0,0,3
"1805",8,1,5,5,2,1,1,5,2,4,3,0,1,1,0,4
"2606",8,1,5,5,2,1,1,5,2,4,3,1,1,1,0,3
"604",9,1,6,5,6,NA,3,3,3,3,3,0,0,0,0,4
"1204",9,1,6,5,6,NA,3,3,3,3,3,1,0,0,1,4
"1605",9,1,6,5,6,NA,3,3,3,3,3,0,1,0,1,3
"2208",9,1,6,5,6,NA,3,3,3,3,3,0,1,1,1,3
"403",10,2,5,4,6,NA,5,1,5,1,5,0,1,0,0,3
"804",10,2,5,4,6,NA,5,1,5,1,5,1,0,0,0,3
"1806",10,2,5,4,6,NA,5,1,5,1,5,0,1,1,0,3
"2009",10,2,5,4,6,NA,5,1,5,1,5,0,0,1,1,2
"3",11,1,6,5,4,3,3,2,4,2,4,0,1,0,1,3
"1004",11,1,6,5,4,3,3,2,4,2,4,1,1,0,0,4
"1606",11,1,6,5,4,3,3,2,4,2,4,0,1,0,1,4
"3008",11,1,6,5,4,3,3,2,4,2,4,1,0,1,0,4
"1407",12,1,6,2,4,6,2,3,3,2,3,1,1,0,1,3
"2209",12,1,6,2,4,6,2,3,3,2,3,0,1,1,1,3
"2408",12,1,6,2,4,6,2,3,3,2,3,1,1,1,1,3
"2809",12,1,6,2,4,6,2,3,3,2,3,1,0,1,1,3
"203",13,2,7,5,6,NA,3,3,3,3,3,0,0,0,1,4
"605",13,2,7,5,6,NA,3,3,3,3,3,0,0,0,0,4
"1205",13,2,7,5,6,NA,3,3,3,3,3,1,0,0,1,4
"2607",13,2,7,5,6,NA,3,3,3,3,3,1,1,1,0,4
"805",14,1,4,2,2,6,2,3,4,2,3,1,0,0,0,4
"1408",14,1,4,2,2,6,2,3,4,2,3,1,1,0,1,2
"2608",14,1,4,2,2,6,2,3,4,2,3,1,1,1,0,3
"2810",14,1,4,2,2,6,2,3,4,2,3,1,0,1,1,4
"4",15,1,4,3,4,4,1,1,1,1,4,0,1,0,1,3
"2010",15,1,4,3,4,4,1,1,1,1,4,0,0,1,1,4
"2210",15,1,4,3,4,4,1,1,1,1,4,0,1,1,1,3
"3009",15,1,4,3,4,4,1,1,1,1,4,1,0,1,0,5
"1005",16,2,6,6,6,NA,3,2,4,2,2,1,1,0,0,3
"1607",16,2,6,6,6,NA,3,2,4,2,2,0,1,0,1,3
"1807",16,2,6,6,6,NA,3,2,4,2,2,0,1,1,0,3
"2409",16,2,6,6,6,NA,3,2,4,2,2,1,1,1,1,2
"5",17,1,4,5,2,6,4,4,4,2,3,0,1,0,1,3
"404",17,1,4,5,2,6,4,4,4,2,3,0,1,0,0,3
"2211",17,1,4,5,2,6,4,4,4,2,3,0,1,1,1,3
"2609",17,1,4,5,2,6,4,4,4,2,3,1,1,1,0,3
"204",18,1,6,6,1,1,3,5,5,1,3,0,0,0,1,3
"606",18,1,6,6,1,1,3,5,5,1,3,0,0,0,0,5
"1006",18,1,6,6,1,1,3,5,5,1,3,1,1,0,0,4
"3010",18,1,6,6,1,1,3,5,5,1,3,1,0,1,0,4
"205",19,1,6,6,4,3,4,2,3,3,4,0,0,0,1,3
"405",19,1,6,6,4,3,4,2,3,3,4,0,1,0,0,4
"607",19,1,6,6,4,3,4,2,3,3,4,0,0,0,0,4
"1206",19,1,6,6,4,3,4,2,3,3,4,1,0,0,1,4
"1207",20,2,5,4,2,3,4,2,4,2,3,1,0,0,1,5
"1608",20,2,5,4,2,3,4,2,4,2,3,0,1,0,1,5
"2410",20,2,5,4,2,3,4,2,4,2,3,1,1,1,1,2
"2811",20,2,5,4,2,3,4,2,4,2,3,1,0,1,1,4
"806",21,1,6,2,5,4,3,3,3,3,4,1,0,0,0,4
"1409",21,1,6,2,5,4,3,3,3,3,4,1,1,0,1,2
"1808",21,1,6,2,5,4,3,3,3,3,4,0,1,1,0,3
"2011",21,1,6,2,5,4,3,3,3,3,4,0,0,1,1,3
"406",22,1,5,5,2,3,3,3,3,2,3,0,1,0,0,4
"1208",22,1,5,5,2,3,3,3,3,2,3,1,0,0,1,4
"2012",22,1,5,5,2,3,3,3,3,2,3,0,0,1,1,4
"3011",22,1,5,5,2,3,3,3,3,2,3,1,0,1,0,4
"807",23,1,6,2,5,5,3,3,3,3,4,1,0,0,0,2
"1410",23,1,6,2,5,5,3,3,3,3,4,1,1,0,1,2
"2212",23,1,6,2,5,5,3,3,3,3,4,0,1,1,1,1
"2812",23,1,6,2,5,5,3,3,3,3,4,1,0,1,1,2
"206",24,1,4,5,6,NA,2,4,3,3,5,0,0,0,1,2
"608",24,1,4,5,6,NA,2,4,3,3,5,0,0,0,0,3
"1609",24,1,4,5,6,NA,2,4,3,3,5,0,1,0,1,3
"2610",24,1,4,5,6,NA,2,4,3,3,5,1,1,1,0,2
"6",25,1,4,3,5,5,2,3,3,1,4,0,1,0,1,3
"1007",25,1,4,3,5,5,2,3,3,1,4,1,1,0,0,4
"1809",25,1,4,3,5,5,2,3,3,1,4,0,1,1,0,4
"2411",25,1,4,3,5,5,2,3,3,1,4,1,1,1,1,3
"407",26,1,4,5,5,1,2,3,2,2,3,0,1,0,0,4
"609",26,1,4,5,5,1,2,3,2,2,3,0,0,0,0,4
"1209",26,1,4,5,5,1,2,3,2,2,3,1,0,0,1,3
"2213",26,1,4,5,5,1,2,3,2,2,3,0,1,1,1,3
"1610",27,2,5,2,6,NA,1,4,3,3,3,0,1,0,1,3
"2013",27,2,5,2,6,NA,1,4,3,3,3,0,0,1,1,3
"2611",27,2,5,2,6,NA,1,4,3,3,3,1,1,1,0,3
"3012",27,2,5,2,6,NA,1,4,3,3,3,1,0,1,0,3
"808",28,1,6,2,5,4,2,3,3,2,4,1,0,0,0,4
"1411",28,1,6,2,5,4,2,3,3,2,4,1,1,0,1,3
"2412",28,1,6,2,5,4,2,3,3,2,4,1,1,1,1,3
"2813",28,1,6,2,5,4,2,3,3,2,4,1,0,1,1,3
"7",29,1,7,5,6,NA,2,2,4,2,3,0,1,0,1,2
"207",29,1,7,5,6,NA,2,2,4,2,3,0,0,0,1,2
"1008",29,1,7,5,6,NA,2,2,4,2,3,1,1,0,0,3
"1810",29,1,7,5,6,NA,2,2,4,2,3,0,1,1,0,3
"8",30,1,7,5,1,3,1,4,3,4,2,0,1,0,1,3
"208",30,1,7,5,1,3,1,4,3,4,2,0,0,0,1,3
"610",30,1,7,5,1,3,1,4,3,4,2,0,0,0,0,3
"3013",30,1,7,5,1,3,1,4,3,4,2,1,0,1,0,3
"1412",31,1,5,5,2,1,2,3,4,2,2,1,1,0,1,2
"1811",31,1,5,5,2,1,2,3,4,2,2,0,1,1,0,3
"2014",31,1,5,5,2,1,2,3,4,2,2,0,0,1,1,3
"2413",31,1,5,5,2,1,2,3,4,2,2,1,1,1,1,2
"1210",32,2,5,3,4,4,4,2,4,4,3,1,0,0,1,4
"1611",32,2,5,3,4,4,4,2,4,4,3,0,1,0,1,4
"2214",32,2,5,3,4,4,4,2,4,4,3,0,1,1,1,3
"2814",32,2,5,3,4,4,4,2,4,4,3,1,0,1,1,4
"408",33,1,6,5,6,NA,3,2,4,2,3,0,1,0,0,4
"809",33,1,6,5,6,NA,3,2,4,2,3,1,0,0,0,3
"1009",33,1,6,5,6,NA,3,2,4,2,3,1,1,0,0,2
"2612",33,1,6,5,6,NA,3,2,4,2,3,1,1,1,0,3
"9",34,1,3,2,2,1,2,2,3,2,2,0,1,0,1,2
"810",34,1,3,2,2,1,2,2,3,2,2,1,0,0,0,3
"1010",34,1,3,2,2,1,2,2,3,2,2,1,1,0,0,2
"2414",34,1,3,2,2,1,2,2,3,2,2,1,1,1,1,1
"209",35,2,3,3,3,4,3,3,3,3,4,0,0,0,1,3
"409",35,2,3,3,3,4,3,3,3,3,4,0,1,0,0,3
"611",35,2,3,3,3,4,3,3,3,3,4,0,0,0,0,3
"1612",35,2,3,3,3,4,3,3,3,3,4,0,1,0,1,3
"1413",36,1,4,2,4,6,4,2,4,2,4,1,1,0,1,3
"2613",36,1,4,2,4,6,4,2,4,2,4,1,1,1,0,3
"2815",36,1,4,2,4,6,4,2,4,2,4,1,0,1,1,4
"3014",36,1,4,2,4,6,4,2,4,2,4,1,0,1,0,4
"1211",37,2,3,5,6,NA,2,3,3,3,2,1,0,0,1,4
"1812",37,2,3,5,6,NA,2,3,3,3,2,0,1,1,0,4
"2015",37,2,3,5,6,NA,2,3,3,3,2,0,0,1,1,3
"2215",37,2,3,5,6,NA,2,3,3,3,2,0,1,1,1,3
"612",38,1,6,2,2,2,3,1,5,2,4,0,0,0,0,3
"811",38,1,6,2,2,2,3,1,5,2,4,1,0,0,0,3
"1414",38,1,6,2,2,2,3,1,5,2,4,1,1,0,1,2
"2816",38,1,6,2,2,2,3,1,5,2,4,1,0,1,1,3
"10",39,2,4,2,6,NA,5,1,5,1,4,0,1,0,1,4
"210",39,2,4,2,6,NA,5,1,5,1,4,0,0,0,1,4
"1813",39,2,4,2,6,NA,5,1,5,1,4,0,1,1,0,4
"2016",39,2,4,2,6,NA,5,1,5,1,4,0,0,1,1,4
"1212",40,2,6,5,6,NA,2,3,4,3,3,1,0,0,1,3
"2216",40,2,6,5,6,NA,2,3,4,3,3,0,1,1,1,3
"2614",40,2,6,5,6,NA,2,3,4,3,3,1,1,1,0,2
"3015",40,2,6,5,6,NA,2,3,4,3,3,1,0,1,0,4
"410",41,1,7,2,6,NA,2,2,5,1,3,0,1,0,0,2
"1011",41,1,7,2,6,NA,2,2,5,1,3,1,1,0,0,2
"1613",41,1,7,2,6,NA,2,2,5,1,3,0,1,0,1,3
"2415",41,1,7,2,6,NA,2,2,5,1,3,1,1,1,1,2
"411",42,1,7,2,3,7,2,2,3,2,4,0,1,0,0,3
"1012",42,1,7,2,3,7,2,2,3,2,4,1,1,0,0,2
"1814",42,1,7,2,3,7,2,2,3,2,4,0,1,1,0,2
"2017",42,1,7,2,3,7,2,2,3,2,4,0,0,1,1,3
"11",43,2,6,2,3,5,3,3,5,2,3,0,1,0,1,2
"812",43,2,6,2,3,5,3,3,5,2,3,1,0,0,0,3
"1415",43,2,6,2,3,5,3,3,5,2,3,1,1,0,1,2
"2615",43,2,6,2,3,5,3,3,5,2,3,1,1,1,0,2
"1013",44,2,5,2,3,6,3,3,3,3,3,1,1,0,0,3
"1815",44,2,5,2,3,6,3,3,3,3,3,0,1,1,0,3
"2616",44,2,5,2,3,6,3,3,3,3,3,1,1,1,0,3
"3016",44,2,5,2,3,6,3,3,3,3,3,1,0,1,0,3
"613",45,1,4,2,4,6,3,3,5,1,3,0,0,0,0,3
"1213",45,1,4,2,4,6,3,3,5,1,3,1,0,0,1,3
"1614",45,1,4,2,4,6,3,3,5,1,3,0,1,0,1,3
"2416",45,1,4,2,4,6,3,3,5,1,3,1,1,1,1,2
"211",46,1,7,2,6,NA,2,4,3,2,3,0,0,0,1,4
"2217",46,1,7,2,6,NA,2,4,3,2,3,0,1,1,1,2
"2817",46,1,7,2,6,NA,2,4,3,2,3,1,0,1,1,3
"3017",46,1,7,2,6,NA,2,4,3,2,3,1,0,1,0,3
"12",47,1,6,2,5,6,2,3,3,3,3,0,1,0,1,3
"813",47,1,6,2,5,6,2,3,3,3,3,1,0,0,0,4
"1615",47,1,6,2,5,6,2,3,3,3,3,0,1,0,1,4
"2218",47,1,6,2,5,6,2,3,3,3,3,0,1,1,1,2
"212",48,1,7,3,6,NA,3,3,4,2,4,0,0,0,1,4
"1214",48,1,7,3,6,NA,3,3,4,2,4,1,0,0,1,4
"2018",48,1,7,3,6,NA,3,3,4,2,4,0,0,1,1,4
"2818",48,1,7,3,6,NA,3,3,4,2,4,1,0,1,1,4
"412",49,1,6,2,6,NA,4,2,4,2,3,0,1,0,0,3
"614",49,1,6,2,6,NA,4,2,4,2,3,0,0,0,0,3
"1416",49,1,6,2,6,NA,4,2,4,2,3,1,1,0,1,3
"2417",49,1,6,2,6,NA,4,2,4,2,3,1,1,1,1,2
"1014",50,1,5,5,2,2,3,2,4,2,2,1,1,0,0,4
"1616",50,1,5,5,2,2,3,2,4,2,2,0,1,0,1,4
"2019",50,1,5,5,2,2,3,2,4,2,2,0,0,1,1,3
"2617",50,1,5,5,2,2,3,2,4,2,2,1,1,1,0,4
"13",51,2,4,2,3,4,1,1,4,1,4,0,1,0,1,2
"213",51,2,4,2,3,4,1,1,4,1,4,0,0,0,1,2
"814",51,2,4,2,3,4,1,1,4,1,4,1,0,0,0,3
"2819",51,2,4,2,3,4,1,1,4,1,4,1,0,1,1,3
"413",52,2,4,2,NA,5,5,5,5,5,5,0,1,0,0,1
"1417",52,2,4,2,NA,5,5,5,5,5,5,1,1,0,1,1
"3018",52,2,4,2,NA,5,5,5,5,5,5,1,0,1,0,1
"615",53,2,7,3,6,NA,3,3,4,1,4,0,0,0,0,3
"1215",53,2,7,3,6,NA,3,3,4,1,4,1,0,0,1,3
"1816",53,2,7,3,6,NA,3,3,4,1,4,0,1,1,0,3
"2418",53,2,7,3,6,NA,3,3,4,1,4,1,1,1,1,2
"414",54,1,6,5,6,NA,2,3,3,2,3,0,1,0,0,3
"1617",54,1,6,5,6,NA,2,3,3,2,3,0,1,0,1,3
"2020",54,1,6,5,6,NA,2,3,3,2,3,0,0,1,1,2
"2419",54,1,6,5,6,NA,2,3,3,2,3,1,1,1,1,2
"815",55,1,6,5,5,2,1,5,3,3,2,1,0,0,0,4
"1015",55,1,6,5,5,2,1,5,3,3,2,1,1,0,0,4
"1817",55,1,6,5,5,2,1,5,3,3,2,0,1,1,0,4
"3019",55,1,6,5,5,2,1,5,3,3,2,1,0,1,0,4
"14",56,1,4,6,2,1,2,3,3,3,3,0,1,0,1,3
"616",56,1,4,6,2,1,2,3,3,3,3,0,0,0,0,5
"1216",56,1,4,6,2,1,2,3,3,3,3,1,0,0,1,3
"2219",56,1,4,6,2,1,2,3,3,3,3,0,1,1,1,3
"214",57,2,3,1,3,5,2,3,3,3,3,0,0,0,1,3
"1418",57,2,3,1,3,5,2,3,3,3,3,1,1,0,1,2
"2618",57,2,3,1,3,5,2,3,3,3,3,1,1,1,0,4
"2820",57,2,3,1,3,5,2,3,3,3,3,1,0,1,1,3
"215",58,2,6,3,6,NA,2,3,3,2,4,0,0,0,1,3
"617",58,2,6,3,6,NA,2,3,3,2,4,0,0,0,0,3
"1419",58,2,6,3,6,NA,2,3,3,2,4,1,1,0,1,3
"2220",58,2,6,3,6,NA,2,3,3,2,4,0,1,1,1,2
"415",59,2,6,1,6,NA,3,1,5,1,5,0,1,0,0,3
"1618",59,2,6,1,6,NA,3,1,5,1,5,0,1,0,1,3
"1818",59,2,6,1,6,NA,3,1,5,1,5,0,1,1,0,3
"2619",59,2,6,1,6,NA,3,1,5,1,5,1,1,1,0,3
"15",60,1,7,5,6,NA,5,1,1,1,3,0,1,0,1,1
"1016",60,1,7,5,6,NA,5,1,1,1,3,1,1,0,0,3
"2021",60,1,7,5,6,NA,5,1,1,1,3,0,0,1,1,3
"2821",60,1,7,5,6,NA,5,1,1,1,3,1,0,1,1,2
"16",61,3,7,6,6,NA,5,5,5,5,5,0,1,0,1,5
"1217",61,3,7,6,6,NA,5,5,5,5,5,1,0,0,1,1
"2022",61,3,7,6,6,NA,5,5,5,5,5,0,0,1,1,1
"2420",61,3,7,6,6,NA,5,5,5,5,5,1,1,1,1,5
"816",62,2,4,5,3,2,3,3,4,4,3,1,0,0,0,4
"1218",62,2,4,5,3,2,3,3,4,4,3,1,0,0,1,3
"2421",62,2,4,5,3,2,3,3,4,4,3,1,1,1,1,3
"3020",62,2,4,5,3,2,3,3,4,4,3,1,0,1,0,4
"817",63,3,7,6,6,NA,5,5,5,5,5,1,0,0,0,1
"1017",63,3,7,6,6,NA,5,5,5,5,5,1,1,0,0,1
"1420",63,3,7,6,6,NA,5,5,5,5,5,1,1,0,1,1
"2221",63,3,7,6,6,NA,5,5,5,5,5,0,1,1,1,1
"618",64,1,5,5,2,3,1,3,1,5,3,0,0,0,0,3
"1819",64,1,5,5,2,3,1,3,1,5,3,0,1,1,0,3
"2620",64,1,5,5,2,3,1,3,1,5,3,1,1,1,0,3
"2822",64,1,5,5,2,3,1,3,1,5,3,1,0,1,1,3
"216",65,2,4,3,2,3,4,2,4,2,3,0,0,0,1,3
"416",65,2,4,3,2,3,4,2,4,2,3,0,1,0,0,3
"1619",65,2,4,3,2,3,4,2,4,2,3,0,1,0,1,4
"3021",65,2,4,3,2,3,4,2,4,2,3,1,0,1,0,4
"619",66,1,6,5,6,NA,2,3,3,4,3,0,0,0,0,4
"1018",66,1,6,5,6,NA,2,3,3,4,3,1,1,0,0,4
"2621",66,1,6,5,6,NA,2,3,3,4,3,1,1,1,0,4
"2823",66,1,6,5,6,NA,2,3,3,4,3,1,0,1,1,3
"17",67,2,6,5,3,4,2,4,4,3,4,0,1,0,1,2
"2023",67,2,6,5,3,4,2,4,4,3,4,0,0,1,1,3
"2422",67,2,6,5,3,4,2,4,4,3,4,1,1,1,1,2
"3022",67,2,6,5,3,4,2,4,4,3,4,1,0,1,0,3
"217",68,2,6,2,2,3,2,2,4,2,2,0,0,0,1,3
"1219",68,2,6,2,2,3,2,2,4,2,2,1,0,0,1,2
"1421",68,2,6,2,2,3,2,2,4,2,2,1,1,0,1,2
"2222",68,2,6,2,2,3,2,2,4,2,2,0,1,1,1,2
"417",69,1,7,2,6,NA,3,3,4,2,3,0,1,0,0,3
"818",69,1,7,2,6,NA,3,3,4,2,3,1,0,0,0,3
"1620",69,1,7,2,6,NA,3,3,4,2,3,0,1,0,1,3
"1820",69,1,7,2,6,NA,3,3,4,2,3,0,1,1,0,3
"1621",70,1,7,5,6,NA,1,2,2,2,2,0,1,0,1,3
"1821",70,1,7,5,6,NA,1,2,2,2,2,0,1,1,0,2
"2622",70,1,7,5,6,NA,1,2,2,2,2,1,1,1,0,2
"2824",70,1,7,5,6,NA,1,2,2,2,2,1,0,1,1,3
"18",71,2,3,6,2,2,4,2,4,1,2,0,1,0,1,2
"620",71,2,3,6,2,2,4,2,4,1,2,0,0,0,0,3
"1220",71,2,3,6,2,2,4,2,4,1,2,1,0,0,1,3
"2223",71,2,3,6,2,2,4,2,4,1,2,0,1,1,1,2
"218",72,1,6,2,2,4,2,4,3,2,4,0,0,0,1,2
"2423",72,1,6,2,2,4,2,4,3,2,4,1,1,1,1,1
"3023",72,1,6,2,2,4,2,4,3,2,4,1,0,1,0,4
"418",73,1,6,5,6,NA,2,3,3,3,3,0,1,0,0,3
"819",73,1,6,5,6,NA,2,3,3,3,3,1,0,0,0,3
"1019",73,1,6,5,6,NA,2,3,3,3,3,1,1,0,0,3
"1422",73,1,6,5,6,NA,2,3,3,3,3,1,1,0,1,3
"19",74,1,6,3,2,7,1,1,1,1,4,0,1,0,1,3
"820",74,1,6,3,2,7,1,1,1,1,4,1,0,0,0,4
"1822",74,1,6,3,2,7,1,1,1,1,4,0,1,1,0,5
"2224",74,1,6,3,2,7,1,1,1,1,4,0,1,1,1,3
"219",75,2,6,5,6,NA,3,1,2,3,2,0,0,0,1,3
"1423",75,2,6,5,6,NA,3,1,2,3,2,1,1,0,1,2
"2024",75,2,6,5,6,NA,3,1,2,3,2,0,0,1,1,3
"2623",75,2,6,5,6,NA,3,1,2,3,2,1,1,1,0,3
"419",76,2,6,5,6,NA,1,3,3,2,3,0,1,0,0,4
"621",76,2,6,5,6,NA,1,3,3,2,3,0,0,0,0,4
"2424",76,2,6,5,6,NA,1,3,3,2,3,1,1,1,1,2
"3024",76,2,6,5,6,NA,1,3,3,2,3,1,0,1,0,3
"1020",77,2,4,3,2,5,2,3,4,2,4,1,1,0,0,3
"1221",77,2,4,3,2,5,2,3,4,2,4,1,0,0,1,4
"1622",77,2,4,3,2,5,2,3,4,2,4,0,1,0,1,3
"2825",77,2,4,3,2,5,2,3,4,2,4,1,0,1,1,3
"622",78,1,5,5,1,1,2,3,2,2,2,0,0,0,0,3
"821",78,1,5,5,1,1,2,3,2,2,2,1,0,0,0,3
"1021",78,1,5,5,1,1,2,3,2,2,2,1,1,0,0,2
"2225",78,1,5,5,1,1,2,3,2,2,2,0,1,1,1,2
"420",79,1,4,5,2,3,4,1,4,2,3,0,1,0,0,3
"1424",79,1,4,5,2,3,4,1,4,2,3,1,1,0,1,2
"2425",79,1,4,5,2,3,4,1,4,2,3,1,1,1,1,2
"2624",79,1,4,5,2,3,4,1,4,2,3,1,1,1,0,4
"20",80,1,5,3,2,2,3,3,4,2,3,0,1,0,1,2
"220",80,1,5,3,2,2,3,3,4,2,3,0,0,0,1,3
"1823",80,1,5,3,2,2,3,3,4,2,3,0,1,1,0,4
"2826",80,1,5,3,2,2,3,3,4,2,3,1,0,1,1,3
"1222",81,1,7,5,3,5,3,3,5,3,2,1,0,0,1,2
"1623",81,1,7,5,3,5,3,3,5,3,2,0,1,0,1,3
"2025",81,1,7,5,3,5,3,3,5,3,2,0,0,1,1,2
"3025",81,1,7,5,3,5,3,3,5,3,2,1,0,1,0,3
"421",82,1,3,5,2,2,2,4,4,1,4,0,1,0,0,3
"1223",82,1,3,5,2,2,2,4,4,1,4,1,0,0,1,3
"2827",82,1,3,5,2,2,2,4,4,1,4,1,0,1,1,3
"3026",82,1,3,5,2,2,2,4,4,1,4,1,0,1,0,3
"1425",83,1,7,5,1,1,2,4,3,4,2,1,1,0,1,2
"1624",83,1,7,5,1,1,2,4,3,4,2,0,1,0,1,4
"1824",83,1,7,5,1,1,2,4,3,4,2,0,1,1,0,3
"2426",83,1,7,5,1,1,2,4,3,4,2,1,1,1,1,3
"21",84,1,4,5,2,3,3,2,3,2,4,0,1,0,1,3
"2026",84,1,4,5,2,3,3,2,3,2,4,0,0,1,1,2
"2226",84,1,4,5,2,3,3,2,3,2,4,0,1,1,1,2
"2625",84,1,4,5,2,3,3,2,3,2,4,1,1,1,0,3
"221",85,2,6,5,3,3,4,2,4,2,2,0,0,0,1,2
"623",85,2,6,5,3,3,4,2,4,2,2,0,0,0,0,4
"822",85,2,6,5,3,3,4,2,4,2,2,1,0,0,0,4
"1022",85,2,6,5,3,3,4,2,4,2,2,1,1,0,0,3
"823",86,1,3,2,2,5,2,3,2,2,3,1,0,0,0,3
"1023",86,1,3,2,2,5,2,3,2,2,3,1,1,0,0,3
"2427",86,1,3,2,2,5,2,3,2,2,3,1,1,1,1,2
"2828",86,1,3,2,2,5,2,3,2,2,3,1,0,1,1,2
"1224",87,1,5,3,6,NA,3,2,4,2,4,1,0,0,1,3
"1426",87,1,5,3,6,NA,3,2,4,2,4,1,1,0,1,2
"1825",87,1,5,3,6,NA,3,2,4,2,4,0,1,1,0,2
"2227",87,1,5,3,6,NA,3,2,4,2,4,0,1,1,1,2
"422",88,2,5,2,3,5,3,2,4,3,3,0,1,0,0,3
"624",88,2,5,2,3,5,3,2,4,3,3,0,0,0,0,3
"2027",88,2,5,2,3,5,3,2,4,3,3,0,0,1,1,2
"2626",88,2,5,2,3,5,3,2,4,3,3,1,1,1,0,3
"625",89,2,6,2,2,3,2,3,4,2,4,0,0,0,0,4
"1024",89,2,6,2,2,3,2,3,4,2,4,1,1,0,0,4
"1625",89,2,6,2,2,3,2,3,4,2,4,0,1,0,1,5
"2829",89,2,6,2,2,3,2,3,4,2,4,1,0,1,1,3
"22",90,1,6,3,3,3,2,2,4,1,4,0,1,0,1,3
"222",90,1,6,3,3,3,2,2,4,1,4,0,0,0,1,3
"1626",90,1,6,3,3,3,2,2,4,1,4,0,1,0,1,4
"3027",90,1,6,3,3,3,2,2,4,1,4,1,0,1,0,4
"824",91,1,5,5,2,1,3,3,4,1,3,1,0,0,0,4
"2028",91,1,5,5,2,1,3,3,4,1,3,0,0,1,1,3
"2228",91,1,5,5,2,1,3,3,4,1,3,0,1,1,1,2
"3028",91,1,5,5,2,1,3,3,4,1,3,1,0,1,0,4
"23",92,1,4,5,2,3,1,5,1,5,2,0,1,0,1,3
"423",92,1,4,5,2,3,1,5,1,5,2,0,1,0,0,4
"1826",92,1,4,5,2,3,1,5,1,5,2,0,1,1,0,4
"2428",92,1,4,5,2,3,1,5,1,5,2,1,1,1,1,2
"825",93,1,4,5,5,2,2,4,2,2,3,1,0,0,0,4
"1627",93,1,4,5,5,2,2,4,2,2,3,0,1,0,1,4
"1827",93,1,4,5,5,2,2,4,2,2,3,0,1,1,0,4
"2830",93,1,4,5,5,2,2,4,2,2,3,1,0,1,1,4
"223",94,1,7,5,5,2,3,1,5,1,3,0,0,0,1,4
"1225",94,1,7,5,5,2,3,1,5,1,3,1,0,0,1,3
"1427",94,1,7,5,5,2,3,1,5,1,3,1,1,0,1,2
"2627",94,1,7,5,5,2,3,1,5,1,3,1,1,1,0,3
"224",95,1,5,5,2,4,1,3,2,2,2,0,0,0,1,3
"1226",95,1,5,5,2,4,1,3,2,2,2,1,0,0,1,3
"1428",95,1,5,5,2,4,1,3,2,2,2,1,1,0,1,3
"2029",95,1,5,5,2,4,1,3,2,2,2,0,0,1,1,3
"24",96,1,6,5,6,NA,4,2,5,1,3,0,1,0,1,2
"424",96,1,6,5,6,NA,4,2,5,1,3,0,1,0,0,2
"1025",96,1,6,5,6,NA,4,2,5,1,3,1,1,0,0,2
"3029",96,1,6,5,6,NA,4,2,5,1,3,1,0,1,0,2
"25",97,1,6,3,3,3,2,2,4,1,4,0,1,0,1,3
"225",97,1,6,3,3,3,2,2,4,1,4,0,0,0,1,3
"2628",97,1,6,3,3,3,2,2,4,1,4,1,1,1,0,3
"2831",97,1,6,3,3,3,2,2,4,1,4,1,0,1,1,3
